Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Total - All Places of Death,"1,136,076","11,569,541","1,123,100","565,185","21,901","1,713,431",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, inpatient","743,207","3,592,622","841,478","459,861","13,943","1,137,676",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, outpatient or emergency room","40,908","689,320","33,671","12,845","1,163","62,819",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, dead on arrival","1,117","30,706",710,269,30,"1,588",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Decedent's home,"114,319","3,903,005","85,184","29,560","3,415","172,344",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Hospice facility,"41,107","718,803","51,466","18,112","1,069","75,431",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Nursing home/long term care facility,"169,764","1,803,094","91,409","37,047","1,851","225,846",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Other,"25,530","830,384","19,084","7,441",429,"37,554",
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Place of death unknown,124,"1,607",98,50,1,173,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Total - All Places of Death,"21,304","217,866","17,016","7,347",345,"31,272",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, inpatient","15,962","69,904","14,189","6,437",260,"23,938",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",780,"16,277",433,131,24,"1,105",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, dead on arrival",14,335,,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Decedent's home,"2,045","86,604",967,341,35,"2,702",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Hospice facility,314,"8,338",521,136,,707,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Nursing home/long term care facility,"1,973","23,537",772,263,11,"2,491",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Other,216,"12,871",128,38,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Total - All Places of Death,"1,467","18,798","1,435",804,47,"2,143",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, inpatient","1,016","6,426","1,122",687,32,"1,482",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",56,"1,133",43,15,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Decedent's home,245,"7,608",173,64,,360,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Nursing home/long term care facility,108,"1,829",58,24,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Other,42,"1,789",39,14,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Total - All Places of Death,"30,107","267,908","29,571","17,349",361,"42,667",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, inpatient","20,319","72,688","21,810","14,040",238,"28,315",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",943,"14,505",809,341,18,"1,427",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, dead on arrival",,81,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Decedent's home,"3,328","92,061","2,697","1,111",44,"4,956",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Hospice facility,"1,649","20,800","1,592",626,32,"2,643",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Nursing home/long term care facility,"2,081","29,878","1,414",688,12,"2,819",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Other,"1,781","37,895","1,246",541,17,"2,500",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Total - All Places of Death,"12,544","131,462","12,930","6,015",283,"19,722",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, inpatient","8,113","39,983","9,592","4,816",190,"13,067",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",544,"9,699",474,163,27,882,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, dead on arrival",17,249,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Decedent's home,"1,089","43,724",895,258,39,"1,760",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Hospice facility,601,"11,775",844,275,14,"1,183",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Nursing home/long term care facility,"2,028","18,525","1,007",469,11,"2,575",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Other,152,"7,506",109,31,,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Total - All Places of Death,"108,052","1,109,149","120,726","61,650","1,730","168,772",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, inpatient","76,431","359,197","96,766","52,006","1,344","122,470",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, outpatient or emergency room","4,281","62,467","3,975","1,582",90,"6,757",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, dead on arrival",28,356,26,12,0,42,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Decedent's home,"12,389","422,623","9,220","3,367",177,"18,413",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Hospice facility,578,"19,671",607,191,,"1,001",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Nursing home/long term care facility,"9,710","109,425","6,701","2,985",66,"13,487",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Other,"4,634","135,392","3,430","1,506",46,"6,601",
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Place of death unknown,,18,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Total - All Places of Death,"15,251","165,385","14,742","7,806",391,"22,559",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, inpatient","8,413","41,886","9,648","5,806",210,"12,455",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",356,"6,489",336,140,21,573,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, dead on arrival",16,150,,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Decedent's home,"2,403","60,386","1,893",692,72,"3,674",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Hospice facility,500,"11,862",783,235,22,"1,069",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Nursing home/long term care facility,"3,227","33,293","1,771",838,58,"4,212",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Other,336,"11,282",302,89,,557,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Place of death unknown,0,37,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Total - All Places of Death,"12,467","122,446","9,972","4,052",214,"18,588",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, inpatient","7,431","42,445","7,847","3,381",152,"12,038",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",472,"7,607",226,65,10,643,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, dead on arrival",19,702,12,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Decedent's home,784,"36,640",365,67,15,"1,096",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Hospice facility,241,"4,443",199,84,,361,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Nursing home/long term care facility,"3,281","23,216","1,230",424,30,"4,116",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Other,239,"7,393",93,28,,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Total - All Places of Death,"3,403","38,554","3,310","1,670",63,"5,102",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, inpatient","2,052","10,251","2,551","1,373",42,"3,269",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",100,"2,273",100,33,,171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
