"State","Place.of.Death","COVID.19.Deaths","Date"
"Alabama","Total - All Places of Death",NA,2020-01-01
"Alabama","Healthcare setting, inpatient",0,2020-01-01
"Alabama","Healthcare setting, outpatient or emergency room",0,2020-01-01
"Alabama","Healthcare setting, dead on arrival",0,2020-01-01
"Alabama","Decedent's home",NA,2020-01-01
"Alabama","Hospice facility",0,2020-01-01
"Alabama","Nursing home/long term care facility",0,2020-01-01
"Alabama","Other",0,2020-01-01
"Alabama","Place of death unknown",0,2020-01-01
"Alabama","Total - All Places of Death",NA,2020-02-01
"Alabama","Healthcare setting, inpatient",0,2020-02-01
"Alabama","Healthcare setting, outpatient or emergency room",0,2020-02-01
"Alabama","Healthcare setting, dead on arrival",0,2020-02-01
"Alabama","Decedent's home",0,2020-02-01
"Alabama","Hospice facility",0,2020-02-01
"Alabama","Nursing home/long term care facility",NA,2020-02-01
"Alabama","Other",0,2020-02-01
"Alabama","Place of death unknown",0,2020-02-01
"Alabama","Total - All Places of Death",48,2020-03-01
"Alabama","Healthcare setting, inpatient",37,2020-03-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2020-03-01
"Alabama","Healthcare setting, dead on arrival",0,2020-03-01
"Alabama","Decedent's home",NA,2020-03-01
"Alabama","Hospice facility",0,2020-03-01
"Alabama","Nursing home/long term care facility",NA,2020-03-01
"Alabama","Other",0,2020-03-01
"Alabama","Place of death unknown",0,2020-03-01
"Alabama","Total - All Places of Death",339,2020-04-01
"Alabama","Healthcare setting, inpatient",250,2020-04-01
"Alabama","Healthcare setting, outpatient or emergency room",13,2020-04-01
"Alabama","Healthcare setting, dead on arrival",0,2020-04-01
"Alabama","Decedent's home",18,2020-04-01
"Alabama","Hospice facility",NA,2020-04-01
"Alabama","Nursing home/long term care facility",56,2020-04-01
"Alabama","Other",0,2020-04-01
"Alabama","Place of death unknown",0,2020-04-01
"Alabama","Total - All Places of Death",430,2020-05-01
"Alabama","Healthcare setting, inpatient",310,2020-05-01
"Alabama","Healthcare setting, outpatient or emergency room",17,2020-05-01
"Alabama","Healthcare setting, dead on arrival",0,2020-05-01
"Alabama","Decedent's home",23,2020-05-01
"Alabama","Hospice facility",NA,2020-05-01
"Alabama","Nursing home/long term care facility",73,2020-05-01
"Alabama","Other",0,2020-05-01
"Alabama","Place of death unknown",0,2020-05-01
"Alabama","Total - All Places of Death",399,2020-06-01
"Alabama","Healthcare setting, inpatient",301,2020-06-01
"Alabama","Healthcare setting, outpatient or emergency room",11,2020-06-01
"Alabama","Healthcare setting, dead on arrival",0,2020-06-01
"Alabama","Decedent's home",18,2020-06-01
"Alabama","Hospice facility",NA,2020-06-01
"Alabama","Nursing home/long term care facility",61,2020-06-01
"Alabama","Other",NA,2020-06-01
"Alabama","Place of death unknown",0,2020-06-01
"Alabama","Total - All Places of Death",879,2020-07-01
"Alabama","Healthcare setting, inpatient",615,2020-07-01
"Alabama","Healthcare setting, outpatient or emergency room",40,2020-07-01
"Alabama","Healthcare setting, dead on arrival",NA,2020-07-01
"Alabama","Decedent's home",50,2020-07-01
"Alabama","Hospice facility",NA,2020-07-01
"Alabama","Nursing home/long term care facility",161,2020-07-01
"Alabama","Other",NA,2020-07-01
"Alabama","Place of death unknown",0,2020-07-01
"Alabama","Total - All Places of Death",964,2020-08-01
"Alabama","Healthcare setting, inpatient",704,2020-08-01
"Alabama","Healthcare setting, outpatient or emergency room",26,2020-08-01
"Alabama","Healthcare setting, dead on arrival",NA,2020-08-01
"Alabama","Decedent's home",50,2020-08-01
"Alabama","Hospice facility",10,2020-08-01
"Alabama","Nursing home/long term care facility",168,2020-08-01
"Alabama","Other",NA,2020-08-01
"Alabama","Place of death unknown",0,2020-08-01
"Alabama","Total - All Places of Death",568,2020-09-01
"Alabama","Healthcare setting, inpatient",421,2020-09-01
"Alabama","Healthcare setting, outpatient or emergency room",11,2020-09-01
"Alabama","Healthcare setting, dead on arrival",NA,2020-09-01
"Alabama","Decedent's home",28,2020-09-01
"Alabama","Hospice facility",NA,2020-09-01
"Alabama","Nursing home/long term care facility",96,2020-09-01
"Alabama","Other",NA,2020-09-01
"Alabama","Place of death unknown",0,2020-09-01
"Alabama","Total - All Places of Death",560,2020-10-01
"Alabama","Healthcare setting, inpatient",449,2020-10-01
"Alabama","Healthcare setting, outpatient or emergency room",16,2020-10-01
"Alabama","Healthcare setting, dead on arrival",0,2020-10-01
"Alabama","Decedent's home",31,2020-10-01
"Alabama","Hospice facility",NA,2020-10-01
"Alabama","Nursing home/long term care facility",54,2020-10-01
"Alabama","Other",NA,2020-10-01
"Alabama","Place of death unknown",0,2020-10-01
"Alabama","Total - All Places of Death",768,2020-11-01
"Alabama","Healthcare setting, inpatient",610,2020-11-01
"Alabama","Healthcare setting, outpatient or emergency room",20,2020-11-01
"Alabama","Healthcare setting, dead on arrival",NA,2020-11-01
"Alabama","Decedent's home",39,2020-11-01
"Alabama","Hospice facility",NA,2020-11-01
"Alabama","Nursing home/long term care facility",90,2020-11-01
"Alabama","Other",NA,2020-11-01
"Alabama","Place of death unknown",0,2020-11-01
"Alabama","Total - All Places of Death",NA,2020-12-01
"Alabama","Healthcare setting, inpatient",NA,2020-12-01
"Alabama","Healthcare setting, outpatient or emergency room",81,2020-12-01
"Alabama","Healthcare setting, dead on arrival",0,2020-12-01
"Alabama","Decedent's home",124,2020-12-01
"Alabama","Hospice facility",11,2020-12-01
"Alabama","Nursing home/long term care facility",208,2020-12-01
"Alabama","Other",20,2020-12-01
"Alabama","Place of death unknown",0,2020-12-01
"Alabama","Total - All Places of Death",NA,2021-01-01
"Alabama","Healthcare setting, inpatient",NA,2021-01-01
"Alabama","Healthcare setting, outpatient or emergency room",78,2021-01-01
"Alabama","Healthcare setting, dead on arrival",0,2021-01-01
"Alabama","Decedent's home",141,2021-01-01
"Alabama","Hospice facility",28,2021-01-01
"Alabama","Nursing home/long term care facility",233,2021-01-01
"Alabama","Other",23,2021-01-01
"Alabama","Place of death unknown",0,2021-01-01
"Alabama","Total - All Places of Death",970,2021-02-01
"Alabama","Healthcare setting, inpatient",800,2021-02-01
"Alabama","Healthcare setting, outpatient or emergency room",22,2021-02-01
"Alabama","Healthcare setting, dead on arrival",0,2021-02-01
"Alabama","Decedent's home",65,2021-02-01
"Alabama","Hospice facility",16,2021-02-01
"Alabama","Nursing home/long term care facility",64,2021-02-01
"Alabama","Other",NA,2021-02-01
"Alabama","Place of death unknown",0,2021-02-01
"Alabama","Total - All Places of Death",393,2021-03-01
"Alabama","Healthcare setting, inpatient",288,2021-03-01
"Alabama","Healthcare setting, outpatient or emergency room",14,2021-03-01
"Alabama","Healthcare setting, dead on arrival",NA,2021-03-01
"Alabama","Decedent's home",43,2021-03-01
"Alabama","Hospice facility",11,2021-03-01
"Alabama","Nursing home/long term care facility",32,2021-03-01
"Alabama","Other",NA,2021-03-01
"Alabama","Place of death unknown",0,2021-03-01
"Alabama","Total - All Places of Death",216,2021-04-01
"Alabama","Healthcare setting, inpatient",159,2021-04-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2021-04-01
"Alabama","Healthcare setting, dead on arrival",NA,2021-04-01
"Alabama","Decedent's home",25,2021-04-01
"Alabama","Hospice facility",NA,2021-04-01
"Alabama","Nursing home/long term care facility",16,2021-04-01
"Alabama","Other",NA,2021-04-01
"Alabama","Place of death unknown",0,2021-04-01
"Alabama","Total - All Places of Death",212,2021-05-01
"Alabama","Healthcare setting, inpatient",151,2021-05-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2021-05-01
"Alabama","Healthcare setting, dead on arrival",NA,2021-05-01
"Alabama","Decedent's home",33,2021-05-01
"Alabama","Hospice facility",NA,2021-05-01
"Alabama","Nursing home/long term care facility",17,2021-05-01
"Alabama","Other",NA,2021-05-01
"Alabama","Place of death unknown",0,2021-05-01
"Alabama","Total - All Places of Death",132,2021-06-01
"Alabama","Healthcare setting, inpatient",96,2021-06-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2021-06-01
"Alabama","Healthcare setting, dead on arrival",NA,2021-06-01
"Alabama","Decedent's home",17,2021-06-01
"Alabama","Hospice facility",NA,2021-06-01
"Alabama","Nursing home/long term care facility",NA,2021-06-01
"Alabama","Other",NA,2021-06-01
"Alabama","Place of death unknown",0,2021-06-01
"Alabama","Total - All Places of Death",261,2021-07-01
"Alabama","Healthcare setting, inpatient",209,2021-07-01
"Alabama","Healthcare setting, outpatient or emergency room",13,2021-07-01
"Alabama","Healthcare setting, dead on arrival",0,2021-07-01
"Alabama","Decedent's home",25,2021-07-01
"Alabama","Hospice facility",NA,2021-07-01
"Alabama","Nursing home/long term care facility",NA,2021-07-01
"Alabama","Other",NA,2021-07-01
"Alabama","Place of death unknown",0,2021-07-01
"Alabama","Total - All Places of Death",NA,2021-08-01
"Alabama","Healthcare setting, inpatient",NA,2021-08-01
"Alabama","Healthcare setting, outpatient or emergency room",87,2021-08-01
"Alabama","Healthcare setting, dead on arrival",0,2021-08-01
"Alabama","Decedent's home",191,2021-08-01
"Alabama","Hospice facility",NA,2021-08-01
"Alabama","Nursing home/long term care facility",41,2021-08-01
"Alabama","Other",25,2021-08-01
"Alabama","Place of death unknown",0,2021-08-01
"Alabama","Total - All Places of Death",NA,2021-09-01
"Alabama","Healthcare setting, inpatient",NA,2021-09-01
"Alabama","Healthcare setting, outpatient or emergency room",79,2021-09-01
"Alabama","Healthcare setting, dead on arrival",NA,2021-09-01
"Alabama","Decedent's home",162,2021-09-01
"Alabama","Hospice facility",11,2021-09-01
"Alabama","Nursing home/long term care facility",39,2021-09-01
"Alabama","Other",18,2021-09-01
"Alabama","Place of death unknown",0,2021-09-01
"Alabama","Total - All Places of Death",844,2021-10-01
"Alabama","Healthcare setting, inpatient",709,2021-10-01
"Alabama","Healthcare setting, outpatient or emergency room",19,2021-10-01
"Alabama","Healthcare setting, dead on arrival",0,2021-10-01
"Alabama","Decedent's home",61,2021-10-01
"Alabama","Hospice facility",NA,2021-10-01
"Alabama","Nursing home/long term care facility",39,2021-10-01
"Alabama","Other",NA,2021-10-01
"Alabama","Place of death unknown",0,2021-10-01
"Alabama","Total - All Places of Death",299,2021-11-01
"Alabama","Healthcare setting, inpatient",228,2021-11-01
"Alabama","Healthcare setting, outpatient or emergency room",13,2021-11-01
"Alabama","Healthcare setting, dead on arrival",0,2021-11-01
"Alabama","Decedent's home",33,2021-11-01
"Alabama","Hospice facility",NA,2021-11-01
"Alabama","Nursing home/long term care facility",16,2021-11-01
"Alabama","Other",NA,2021-11-01
"Alabama","Place of death unknown",0,2021-11-01
"Alabama","Total - All Places of Death",317,2021-12-01
"Alabama","Healthcare setting, inpatient",243,2021-12-01
"Alabama","Healthcare setting, outpatient or emergency room",11,2021-12-01
"Alabama","Healthcare setting, dead on arrival",0,2021-12-01
"Alabama","Decedent's home",41,2021-12-01
"Alabama","Hospice facility",0,2021-12-01
"Alabama","Nursing home/long term care facility",16,2021-12-01
"Alabama","Other",NA,2021-12-01
"Alabama","Place of death unknown",0,2021-12-01
"Alabama","Total - All Places of Death",NA,2022-01-01
"Alabama","Healthcare setting, inpatient",881,2022-01-01
"Alabama","Healthcare setting, outpatient or emergency room",70,2022-01-01
"Alabama","Healthcare setting, dead on arrival",NA,2022-01-01
"Alabama","Decedent's home",176,2022-01-01
"Alabama","Hospice facility",15,2022-01-01
"Alabama","Nursing home/long term care facility",74,2022-01-01
"Alabama","Other",16,2022-01-01
"Alabama","Place of death unknown",0,2022-01-01
"Alabama","Total - All Places of Death",NA,2022-02-01
"Alabama","Healthcare setting, inpatient",932,2022-02-01
"Alabama","Healthcare setting, outpatient or emergency room",41,2022-02-01
"Alabama","Healthcare setting, dead on arrival",0,2022-02-01
"Alabama","Decedent's home",162,2022-02-01
"Alabama","Hospice facility",30,2022-02-01
"Alabama","Nursing home/long term care facility",82,2022-02-01
"Alabama","Other",10,2022-02-01
"Alabama","Place of death unknown",0,2022-02-01
"Alabama","Total - All Places of Death",382,2022-03-01
"Alabama","Healthcare setting, inpatient",252,2022-03-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-03-01
"Alabama","Healthcare setting, dead on arrival",0,2022-03-01
"Alabama","Decedent's home",65,2022-03-01
"Alabama","Hospice facility",12,2022-03-01
"Alabama","Nursing home/long term care facility",40,2022-03-01
"Alabama","Other",NA,2022-03-01
"Alabama","Place of death unknown",0,2022-03-01
"Alabama","Total - All Places of Death",90,2022-04-01
"Alabama","Healthcare setting, inpatient",41,2022-04-01
"Alabama","Healthcare setting, outpatient or emergency room",0,2022-04-01
