"State","Place.of.Death","COVID.19.Deaths","Date"
"Alabama","Total - All Places of Death",NA,"2020-01-01"
"Alabama","Total - All Places of Death",NA,"2020-02-01"
"Alabama","Total - All Places of Death",48,"2020-03-01"
"Alabama","Total - All Places of Death",339,"2020-04-01"
"Alabama","Total - All Places of Death",430,"2020-05-01"
"Alabama","Total - All Places of Death",399,"2020-06-01"
"Alabama","Total - All Places of Death",879,"2020-07-01"
"Alabama","Total - All Places of Death",964,"2020-08-01"
"Alabama","Total - All Places of Death",568,"2020-09-01"
"Alabama","Total - All Places of Death",560,"2020-10-01"
"Alabama","Total - All Places of Death",768,"2020-11-01"
"Alabama","Total - All Places of Death",NA,"2020-12-01"
"Alabama","Total - All Places of Death",NA,"2021-01-01"
"Alabama","Total - All Places of Death",970,"2021-02-01"
"Alabama","Total - All Places of Death",393,"2021-03-01"
"Alabama","Total - All Places of Death",216,"2021-04-01"
"Alabama","Total - All Places of Death",212,"2021-05-01"
"Alabama","Total - All Places of Death",132,"2021-06-01"
"Alabama","Total - All Places of Death",261,"2021-07-01"
"Alabama","Total - All Places of Death",NA,"2021-08-01"
"Alabama","Total - All Places of Death",NA,"2021-09-01"
"Alabama","Total - All Places of Death",844,"2021-10-01"
"Alabama","Total - All Places of Death",299,"2021-11-01"
"Alabama","Total - All Places of Death",317,"2021-12-01"
"Alabama","Total - All Places of Death",NA,"2022-01-01"
"Alabama","Total - All Places of Death",NA,"2022-02-01"
"Alabama","Total - All Places of Death",382,"2022-03-01"
"Alabama","Total - All Places of Death",90,"2022-04-01"
"Alabama","Total - All Places of Death",65,"2022-05-01"
"Alabama","Total - All Places of Death",112,"2022-06-01"
"Alabama","Total - All Places of Death",250,"2022-07-01"
"Alabama","Total - All Places of Death",266,"2022-08-01"
"Alabama","Total - All Places of Death",194,"2022-09-01"
"Alabama","Total - All Places of Death",106,"2022-10-01"
"Alabama","Total - All Places of Death",101,"2022-11-01"
"Alabama","Total - All Places of Death",170,"2022-12-01"
"Alabama","Total - All Places of Death",259,"2023-01-01"
"Alabama","Total - All Places of Death",158,"2023-02-01"
"Alabama","Total - All Places of Death",98,"2023-03-01"
"Alabama","Total - All Places of Death",71,"2023-04-01"
"Alabama","Total - All Places of Death",48,"2023-05-01"
"Alabama","Total - All Places of Death",18,"2023-06-01"
"Alaska","Total - All Places of Death",0,"2020-01-01"
"Alaska","Total - All Places of Death",0,"2020-02-01"
"Alaska","Total - All Places of Death",NA,"2020-03-01"
"Alaska","Total - All Places of Death",NA,"2020-04-01"
"Alaska","Total - All Places of Death",NA,"2020-05-01"
"Alaska","Total - All Places of Death",NA,"2020-06-01"
"Alaska","Total - All Places of Death",12,"2020-07-01"
"Alaska","Total - All Places of Death",19,"2020-08-01"
"Alaska","Total - All Places of Death",12,"2020-09-01"
"Alaska","Total - All Places of Death",34,"2020-10-01"
"Alaska","Total - All Places of Death",69,"2020-11-01"
"Alaska","Total - All Places of Death",97,"2020-12-01"
"Alaska","Total - All Places of Death",37,"2021-01-01"
"Alaska","Total - All Places of Death",18,"2021-02-01"
"Alaska","Total - All Places of Death",16,"2021-03-01"
"Alaska","Total - All Places of Death",17,"2021-04-01"
"Alaska","Total - All Places of Death",32,"2021-05-01"
"Alaska","Total - All Places of Death",NA,"2021-06-01"
"Alaska","Total - All Places of Death",25,"2021-07-01"
"Alaska","Total - All Places of Death",110,"2021-08-01"
"Alaska","Total - All Places of Death",190,"2021-09-01"
